date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:55:50	80585/80585	---M-Z	200	added ('OK')	text/html	etag:%2213ac9-611b593f79421-gzip%22	https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html	C:/My%20Web%20Sites/olivia/up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html	(from )
17:55:51	276/276	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Nov%202025%2014:55:53%20GMT	https://up2client.com/robots.txt		(from )
17:55:52	1925/1925	---M--	200	added ('OK')	image/png	etag:%22785-611b595244028%22	https://up2client.com/envato/olivia/preview/one_page_design//assets/images/favicon.png	C:/My%20Web%20Sites/olivia/up2client.com/envato/olivia/preview/one_page_design/assets/images/favicon.png	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
17:55:53	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/My%20Web%20Sites/olivia/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
17:55:53	126165/126165	---M-Z	200	added ('OK')	text/css	etag:%2265660146-402d%22	https://cdnjs.cloudflare.com/ajax/libs/remixicon/3.6.0/remixicon.css	C:/My%20Web%20Sites/olivia/cdnjs.cloudflare.com/ajax/libs/remixicon/3.6.0/remixicon.css	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
17:55:53	5694/5694	---M-Z	200	added ('OK')	text/css	etag:%22163e-611b594ed510f-gzip%22	https://up2client.com/envato/olivia/preview/one_page_design//assets/css/swap.css	C:/My%20Web%20Sites/olivia/up2client.com/envato/olivia/preview/one_page_design/assets/css/swap.css	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
17:55:54	5913/5913	---M-Z	200	added ('OK')	text/css	etag:%221719-611b594e83081-gzip%22	https://up2client.com/envato/olivia/preview/one_page_design//assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/olivia/up2client.com/envato/olivia/preview/one_page_design/assets/css/magnific-popup.min.css	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
17:55:54	232952/232952	---M-Z	200	added ('OK')	text/css	etag:%2238df8-611b594e41995-gzip%22	https://up2client.com/envato/olivia/preview/one_page_design//assets/css/boostrap.min.css	C:/My%20Web%20Sites/olivia/up2client.com/envato/olivia/preview/one_page_design/assets/css/boostrap.min.css	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
17:55:55	1893/1893	---M-Z	200	added ('OK')	text/css	etag:%22765-611b594ea5367-gzip%22	https://up2client.com/envato/olivia/preview/one_page_design//assets/css/slick.css	C:/My%20Web%20Sites/olivia/up2client.com/envato/olivia/preview/one_page_design/assets/css/slick.css	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
17:55:56	15822/15822	---M-Z	200	added ('OK')	text/css	etag:%223dce-611b594e7367e-gzip%22	https://up2client.com/envato/olivia/preview/one_page_design//assets/css/media_query.css	C:/My%20Web%20Sites/olivia/up2client.com/envato/olivia/preview/one_page_design/assets/css/media_query.css	(from https://up2client.com/envato/olivia/preview/one_page_design/olivia_spider/index.html)
